ROAD,ROAD_NAME,COMMON_USAGE_NAME,START_SLK,END_SLK,CWY,START_TRUE_DIST,END_TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,SPEED_LIMIT,ROUTE_NE_ID,OBJECTID,GlobalID,GEOLOCSTLength
1108091,Tortoise St,Tortoise St,0,0.23,Single,0,0.23,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,8122555,22633189,{A0B1933F-21FD-4E98-BD04-EE214596E1D9},0.00232876490870161
1107211,Shortridge Wy,Shortridge Wy,0,0.04,Single,0,0.04,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,47408520,22633190,{1205ADD6-274F-4051-A80F-F7F432E5DC18},0.000368883860287066
1107192,Gateshead Loop,Gateshead Loop,0,0.06,Single,0,0.06,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,47408216,22633191,{2FD5F85C-6AD2-46AA-934F-1729CE709447},0.000632285890796035
1106677,Twist Wy,Twist Wy,0,0.087,Single,0,0.087,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,463134070,22633192,{93928024-D7B2-4325-8405-988BE229AC38},0.000906126751555394
1106309,Flagstaff Rd,Flagstaff Rd,0,0.26,Single,0,0.26,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,454471871,22633193,{7ECEB950-C8DA-4AA0-B0BD-A2C09824108B},0.00233886746097337
1106136,Tenuis L,Tenuis L,0,0.08,Single,0,0.08,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,271956714,22633194,{B462BECF-6D5B-4012-9642-858AB13AED72},0.000793051070234446
1105920,Keytah L,Keytah L,0,0.15,Single,0,0.15,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,199699601,22633195,{083D3707-815E-404C-88B0-35A76A20FBA7},0.00148819350656989
1105919,Harden Park Trl,Harden Park Trl,0,0.72,Single,0,0.72,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,126358019,22633196,{425FCA52-A992-48C2-B31F-164EE56BDCCD},0.00678233985688498
1105914,Paris Gdns,Paris Gdns,0,0.14,Single,0,0.14,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,126358760,22633197,{2E60086A-EE88-4026-9F9E-FAF8BF15CC96},0.00147300305498665
1105912,Kiev Link,Kiev Link,0,0.18,Single,0,0.18,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,130468383,22633198,{FBDF556B-748B-40DB-854B-39041B356EA9},0.00157800126742661
1105654,Lareema Gdns,Lareema Gdns,0,0.23,Single,0,0.23,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,37479542,22633199,{85663A76-9A68-4772-9C0F-7D1D9200A85E},0.00228019861862459
1105650,Alandale Bend,Alandale Bend,0,0.24,Single,0,0.24,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,126358046,22633200,{81981F37-E2F0-404F-B418-6E583D33F3C0},0.00236914199447022
1105146,Ferryside Rd,Ferryside Rd,0,0.27,Single,0,0.27,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,39247487,22633201,{EEED2CA5-4F1D-4AF9-AD30-FA5852CD45B8},0.00248191109524526
1105145,Dinas L,Dinas L,0,0.17,Single,0,0.17,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,39247518,22633202,{27A362CE-DA99-4418-836E-B13AECDA6613},0.00167799094609223
1104683,Mokutu Ct,Mokutu Ct,0,0.297,Single,0,0.297,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,16726944,22633203,{DA48A2EC-A2DB-4E90-A6DB-9408C8DEFF63},0.00299447288928629
1104210,Hensley Loop,Hensley Loop,0,0.4,Single,0,0.4,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,219566,22633204,{D53B208C-3DFA-4533-BAB3-493C072F793D},0.00395546723403471
1104207,Clemton Pl,Clemton Pl,0,0.156,Single,0,0.156,Local Road,07,Metropolitan,110,Wanneroo (C),50km/h applies in built up areas or 110km/h outside built up areas,208775,22633205,{0F54D2A7-476E-4804-A8FE-ACB833B15775},0.0015484260753523
